Province/State,Country/Region,last_update,Confirmed,Deaths,Recovered,latitude,longitude,start_date,end_date,max_temp,min_temp,avg_temp
Jilin,Mainland China,2020-03-09 14:33:03,93,1,91,43.6661,126.1923,2020-03-09,2020-03-10,3.3,-3.0,0.15
Massachusetts,US,2020-03-10 22:13:11,92,0,1,42.2302,-71.5301,2020-03-10,2020-03-11,19.4,9.4,14.4
,Greece,2020-03-10 10:53:03,89,0,0,39.0742,21.8243,2020-03-10,2020-03-11,10.0,2.6,6.3
Xinjiang,Mainland China,2020-03-08 05:33:02,76,3,73,41.1129,85.2401,2020-03-08,2020-03-09,11.1,2.2,6.65
Inner Mongolia,Mainland China,2020-03-08 05:13:06,75,1,70,44.0935,113.9448,2020-03-08,2020-03-09,-0.4,-6.7,-3.55
Ningxia,Mainland China,2020-03-06 12:53:03,75,0,71,37.2692,106.1655,2020-03-06,2020-03-07,9.6,-0.4,4.6
,United Arab Emirates,2020-03-10 11:13:12,74,0,12,23.4241,53.8478,2020-03-10,2020-03-11,27.0,15.6,21.3
,Iraq,2020-03-10 05:13:07,71,7,3,33.0,44.0,2020-03-10,2020-03-11,29.3,14.4,21.85
,Iceland,2020-03-10 12:53:02,69,0,1,64.9631,-19.0208,2020-03-10,2020-03-11,-3.7,-8.9,-6.3
,Kuwait,2020-03-10 10:13:28,69,0,1,29.5,47.75,2020-03-10,2020-03-11,29.0,15.5,22.25
,Egypt,2020-03-10 05:13:07,59,1,1,26.0,30.0,2020-03-10,2020-03-11,24.1,9.6,16.85
,Israel,2020-03-10 12:53:02,58,0,4,31.0,35.0,2020-03-10,2020-03-11,21.9,11.9,16.9
,India,2020-03-10 10:13:28,56,0,4,21.0,78.0,2020-03-10,2020-03-11,32.6,23.2,27.9
New South Wales,Australia,2020-03-10 14:13:14,55,2,4,-33.8688,151.2093,2020-03-10,2020-03-11,23.6,16.8,20.2
,Thailand,2020-03-10 08:53:03,53,1,33,15.87,100.9925,2020-03-10,2020-03-11,38.2,23.4,30.8
,San Marino,2020-03-10 05:13:07,51,2,0,43.9424,12.4578,2020-03-10,2020-03-11,14.0,7.0,10.5
Taiwan,Taipei and environs,2020-03-10 19:13:15,47,1,17,23.7,121.0,2020-03-10,2020-03-11,18.1,13.0,15.55
Diamond Princess,US,2020-03-10 02:33:04,46,0,0,35.4437,139.638,2020-03-10,2020-03-11,18.3,13.0,15.65
,Czech Republic,2020-03-10 13:33:14,41,0,0,49.8175,15.473,2020-03-10,2020-03-11,9.0,3.0,6.0
,Lebanon,2020-03-10 10:53:03,41,1,1,33.8547,35.8623,2020-03-10,2020-03-11,22.8,10.5,16.65
,Portugal,2020-03-10 12:53:02,41,0,0,39.3999,-8.2245,2020-03-10,2020-03-11,23.3,7.0,15.15
,Finland,2020-03-10 10:13:30,40,0,1,64.0,26.0,2020-03-10,2020-03-11,4.1,1.1,2.6
Ontario,Canada,2020-03-10 17:13:32,36,0,4,51.2538,-85.3232,2020-03-10,2020-03-11,-8.5,-22.2,-15.35
,Ireland,2020-03-10 19:13:21,34,0,0,53.1424,-7.6921,2020-03-10,2020-03-11,11.5,5.6,8.55
,Philippines,2020-03-10 10:13:30,33,1,2,12.8797,121.774,2020-03-10,2020-03-11,27.8,25.9,26.85
British Columbia,Canada,2020-03-09 22:43:25,32,1,4,53.7267,-127.6476,2020-03-09,2020-03-10,-4.1,-10.0,-7.05
,Brazil,2020-03-10 16:53:13,31,0,0,-14.235,-51.9253,2020-03-10,2020-03-11,33.0,23.7,28.35
,Slovenia,2020-03-10 16:13:26,31,0,0,46.1512,14.9955,2020-03-10,2020-03-11,12.5,2.7,7.6
,Viet Nam,2020-03-10 19:13:21,31,0,16,16.0,108.0,2020-03-10,2020-03-11,33.0,25.0,29.0
,Indonesia,2020-03-10 12:53:02,27,0,2,-0.7893,113.9213,2020-03-10,2020-03-11,33.3,24.1,28.7
,Romania,2020-03-10 16:33:13,25,0,3,46.0,25.0,2020-03-10,2020-03-11,8.5,5.5,7.0
,occupied Palestinian territory,2020-03-10 19:13:21,25,0,0,31.9522,35.2332,2020-03-10,2020-03-11,19.1,10.8,14.95
,Qatar,2020-03-10 16:13:26,24,0,0,25.3548,51.1839,2020-03-10,2020-03-11,29.0,14.7,21.85
,Poland,2020-03-10 20:13:07,22,0,0,51.9194,19.1451,2020-03-10,2020-03-11,12.0,4.0,8.0
Grand Princess,US,2020-03-10 02:33:04,21,0,0,37.6489,-122.6655,2020-03-10,2020-03-11,20.0,10.0,15.0
,Algeria,2020-03-09 10:13:06,20,0,0,28.0339,1.6596,2020-03-09,2020-03-10,23.7,6.7,15.2
,Saudi Arabia,2020-03-10 05:13:07,20,0,1,24.0,45.0,2020-03-10,2020-03-11,27.8,10.0,18.9
Queensland,Australia,2020-03-10 13:53:06,18,0,8,-28.0167,153.4,2020-03-10,2020-03-11,24.2,18.8,21.5
Victoria,Australia,2020-03-10 14:33:13,18,0,7,-37.8136,144.9631,2020-03-10,2020-03-11,22.0,10.5,16.25
Qinghai,Mainland China,2020-02-21 04:43:02,18,0,18,35.7452,95.9956,2020-02-21,2020-02-22,-3.3,-22.6,-12.95
,Oman,2020-03-10 08:33:02,18,0,9,21.0,57.0,2020-03-10,2020-03-11,30.0,18.5,24.25
,Argentina,2020-03-10 05:13:07,17,1,0,-38.4161,-63.6167,2020-03-10,2020-03-11,28.9,17.8,23.35
Georgia,US,2020-03-10 03:53:03,17,0,0,33.0406,-83.6431,2020-03-10,2020-03-11,22.8,12.2,17.5
,Pakistan,2020-03-10 05:13:07,16,0,1,30.3753,69.3451,2020-03-10,2020-03-11,17.4,7.4,12.4
,Ecuador,2020-03-09 09:03:03,15,0,0,-1.8312,-78.1834,2020-03-09,2020-03-10,20.7,12.2,16.45
,Georgia,2020-03-09 10:13:06,15,0,0,42.3154,43.3569,2020-03-09,2020-03-10,25.0,2.0,13.5
Colorado,US,2020-03-10 18:33:03,15,0,0,39.0598,-105.3111,2020-03-10,2020-03-11,2.0,-5.0,-1.5
Florida,US,2020-03-10 13:13:14,15,2,0,27.7663,-81.6868,2020-03-10,2020-03-11,25.0,16.0,20.5
New Jersey,US,2020-03-10 18:13:16,15,1,0,40.2989,-74.521,2020-03-10,2020-03-11,22.2,5.0,13.6
Oregon,US,2020-03-10 19:53:13,15,0,0,44.572,-122.0709,2020-03-10,2020-03-11,11.2,1.4,6.3
,Croatia,2020-03-10 16:53:13,14,0,0,45.1667,15.5,2020-03-10,2020-03-11,12.6,6.0,9.3
,Chile,2020-03-10 05:13:07,13,0,0,-35.6751,-71.543,2020-03-10,2020-03-11,30.4,12.2,21.3
Texas,US,2020-03-10 04:13:13,13,0,0,31.0545,-97.5635,2020-03-10,2020-03-11,25.0,15.0,20.0
,Estonia,2020-03-10 11:13:13,12,0,0,58.5953,25.0136,2020-03-10,2020-03-11,4.8,1.5,3.15
Illinois,US,2020-03-10 18:33:03,12,0,2,40.3495,-88.9861,2020-03-10,2020-03-11,12.2,3.3,7.75
Pennsylvania,US,2020-03-10 18:13:16,12,0,0,40.5908,-77.2098,2020-03-10,2020-03-11,18.1,9.3,13.7
,Azerbaijan,2020-03-10 16:13:27,11,0,0,40.1431,47.5769,2020-03-10,2020-03-11,18.5,5.2,11.85
,Peru,2020-03-10 16:33:13,11,0,0,-9.19,-75.0152,2020-03-10,2020-03-11,33.0,22.6,27.8
,Albania,2020-03-10 12:53:02,10,0,0,41.1533,20.1683,2020-03-10,2020-03-11,10.4,1.1,5.75
Macau,Macao SAR,2020-03-10 19:13:20,10,0,10,22.1667,113.55,2020-03-10,2020-03-11,24.4,19.0,21.7
